Name,Team,Position,Ownership,Start,Price,Fixture,AnytimeAssist,AnytimeGoal,AnytimeReturn,Reserve
Haaland,Man City,FWD,83%,60%,£12.2m,Leicester (a),20%,67%,74%,N
Salah,Liverpool,MID,32%,90%,£12.8m,Leeds (H),27%,55%,67%,N
Darwin,Liverpool,FWD,7%,80%,£8.8m,Leeds (H),23%,49%,61%,N
Jesus,Arsenal,FWD,59%,90%,£8.0m,Nott'm Forest (H),21%,50%,61%,N
De Bruyne,Man City,MID,32%,90%,£12.3m,Leicester (a),42%,31%,60%,N
Saka,Arsenal,MID,17%,90%,£8.0m,Nott'm Forest (H),31%,38%,57%,N
Firmino,Liverpool,FWD,9%,70%,£8.1m,Leeds (H),23%,43%,57%,N
Alvarez,Man City,FWD,1%,30%,£6.0m,Leicester (a),20%,44%,56%,N
Kane,Spurs,FWD,24%,90%,£11.5m,Bournemouth (a),18%,45%,56%,N
Martinelli,Arsenal,MID,49%,90%,£6.8m,Nott'm Forest (H),22%,42%,55%,N
Nketiah,Arsenal,FWD,0%,20%,£6.5m,Nott'm Forest (H),16%,44%,53%,N
Carvalho,Liverpool,MID,1%,30%,£5.4m,Leeds (H),27%,33%,52%,N
Toney,Brentford,FWD,28%,90%,£7.5m,Wolves (H),16%,40%,50%,N
Son,Spurs,MID,10%,90%,£11.7m,Bournemouth (a),22%,35%,50%,N
Mitrovic,Fulham,FWD,27%,90%,£6.9m,Everton (H),12%,42%,49%,N
Odegaard,Arsenal,MID,13%,90%,£6.4m,Nott'm Forest (H),24%,31%,48%,N
Grealish,Man City,MID,1%,60%,£6.8m,Leicester (a),32%,22%,47%,N
Mahrez,Man City,MID,1%,40%,£7.5m,Leicester (a),26%,29%,47%,N
Ronaldo,Man Utd,FWD,2%,30%,£10.2m,West Ham (H),13%,38%,47%,N
Fernandes,Man Utd,MID,2%,90%,£9.8m,West Ham (H),22%,31%,47%,N
