Name,Team,Position,Ownership,Start,Price,Fixture,AnytimeAssist,AnytimeGoal,AnytimeReturn,Reserve
Haaland,Man City,FWD,85%,90%,£12.2m,Wolves (H),28%,67%,76%,N
De Bruyne,Man City,MID,39%,80%,£12.5m,Wolves (H),50%,29%,64%,N
Kane,Spurs,FWD,35%,90%,£11.7m,Fulham (a),25%,45%,59%,N
Alvarez,Man City,FWD,2%,50%,£6.0m,Wolves (H),27%,43%,58%,N
Mahrez,Man City,MID,4%,70%,£7.5m,Wolves (H),32%,33%,55%,N
Foden,Man City,MID,14%,50%,£8.1m,Wolves (H),32%,31%,54%,N
Grealish,Man City,MID,1%,40%,£6.8m,Wolves (H),40%,22%,53%,N
Salah,Liverpool,MID,29%,90%,£12.8m,Chelsea (H),25%,38%,53%,N
Toney,Brentford,FWD,26%,90%,£7.6m,Leeds (a),20%,40%,52%,N
Darwin,Liverpool,FWD,10%,50%,£8.8m,Chelsea (H),23%,36%,51%,N
Rodrigo,Leeds,MID,8%,90%,£6.4m,Brentford (H),20%,38%,51%,N
Gakpo,Liverpool,MID,1%,90%,£8.0m,Chelsea (H),26%,31%,49%,N
Carvalho,Liverpool,MID,0%,20%,£5.2m,Chelsea (H),27%,27%,47%,N
Scamacca,West Ham,FWD,1%,50%,£6.6m,Everton (H),20%,33%,47%,N
Wilson,Newcastle,FWD,5%,80%,£7.2m,Crystal Palace (a),16%,36%,46%,N
Bamford,Leeds,FWD,0%,30%,£7.2m,Brentford (H),17%,35%,46%,N
Odegaard,Arsenal,MID,28%,90%,£6.8m,Man Utd (H),27%,25%,45%,N
Saka,Arsenal,MID,21%,90%,£8.1m,Man Utd (H),24%,27%,45%,N
Ings,Aston Villa,FWD,2%,30%,£6.4m,Southampton (a),17%,33%,45%,N
Benrahma,West Ham,MID,1%,50%,£5.6m,Everton (H),27%,23%,44%,N
Martinelli,Arsenal,MID,47%,90%,£6.8m,Man Utd (H),21%,29%,44%,N
Antonio,West Ham,FWD,2%,50%,£7.0m,Everton (H),22%,27%,43%,N
Son,Spurs,MID,6%,80%,£11.6m,Fulham (a),26%,23%,43%,N
Gross,Brighton,MID,11%,90%,£5.6m,Leicester (a),31%,17%,43%,N
Isak,Newcastle,FWD,2%,30%,£6.6m,Crystal Palace (a),18%,29%,42%,N
Coutinho,Aston Villa,MID,3%,40%,£6.6m,Southampton (a),27%,21%,42%,N
Bowen,West Ham,MID,2%,90%,£8.0m,Everton (H),23%,25%,42%,N
Welbeck,Brighton,FWD,1%,30%,£6.5m,Leicester (a),14%,32%,42%,N
Bernardo,Man City,MID,6%,80%,£6.8m,Wolves (H),32%,14%,42%,N
Ferguson,Brighton,FWD,2%,60%,£4.5m,Leicester (a),13%,33%,42%,N
Nketiah,Arsenal,FWD,3%,90%,£6.6m,Man Utd (H),16%,31%,42%,N
Saint-Maximin,Newcastle,MID,3%,60%,£6.2m,Crystal Palace (a),29%,17%,41%,N
Watkins,Aston Villa,FWD,3%,70%,£7.1m,Southampton (a),18%,28%,41%,N
Gelhardt,Leeds,FWD,0%,10%,£5.1m,Brentford (H),18%,27%,40%,N
Kulusevski,Spurs,MID,4%,70%,£7.9m,Fulham (a),26%,18%,40%,N
Sinisterra,Leeds,MID,0%,10%,£6.5m,Brentford (H),20%,25%,40%,N
Adams,Southampton,FWD,2%,90%,£6.3m,Aston Villa (H),20%,24%,40%,N
Vardy,Leicester,FWD,2%,70%,£9.1m,Brighton (H),16%,28%,40%,N
Richarlison,Spurs,FWD,1%,50%,£8.4m,Fulham (a),21%,23%,39%,N
Christie,Bournemouth,MID,0%,80%,£5.3m,Nott'm Forest (H),27%,17%,39%,N
Moore,Bournemouth,FWD,1%,90%,£5.3m,Nott'm Forest (H),14%,29%,39%,N
Awoniyi,Nott'm Forest,FWD,1%,40%,£5.7m,Bournemouth (a),14%,29%,39%,N
Smith Rowe,Arsenal,MID,0%,10%,£5.6m,Man Utd (H),18%,25%,39%,N
Wissa,Brentford,MID,0%,80%,£5.3m,Leeds (a),18%,25%,39%,N
Mitrovic,Fulham,FWD,32%,90%,£7.1m,Spurs (H),0%,38%,39%,N
Gnonto,Leeds,FWD,1%,90%,£5.0m,Brentford (H),18%,24%,38%,N
Harrison,Leeds,MID,2%,60%,£5.8m,Brentford (H),20%,22%,38%,N
Mara,Southampton,FWD,0%,40%,£5.3m,Aston Villa (H),16%,26%,38%,N
Alexander-Arnold,Liverpool,DEF,18%,90%,£7.3m,Chelsea (H),32%,8%,38%,N
Barnes,Leicester,MID,2%,90%,£6.8m,Brighton (H),21%,21%,38%,N
Daka,Leicester,FWD,1%,20%,£5.7m,Brighton (H),16%,26%,38%,N
Buendia,Aston Villa,MID,1%,80%,£5.7m,Southampton (a),23%,18%,37%,N
Ward-Prowse,Southampton,MID,5%,90%,£6.2m,Aston Villa (H),20%,21%,37%,N
Rashford,Man Utd,MID,45%,90%,£7.1m,Arsenal (a),16%,25%,37%,N
Mbeumo,Brentford,FWD,4%,90%,£5.9m,Leeds (a),22%,18%,37%,N
Lanzini,West Ham,MID,0%,10%,£5.1m,Everton (H),22%,18%,37%,N
Mitoma,Brighton,MID,2%,90%,£5.0m,Leicester (a),20%,20%,37%,N
Maddison,Leicester,MID,3%,50%,£8.0m,Brighton (H),20%,20%,37%,N
Scarpa,Nott'm Forest,MID,0%,60%,£5.0m,Bournemouth (a),24%,16%,36%,N
Chamberlain,Liverpool,MID,0%,50%,£4.9m,Chelsea (H),23%,17%,36%,N
Iheanacho,Leicester,FWD,0%,10%,£6.1m,Brighton (H),16%,24%,36%,N
Dennis,Nott'm Forest,FWD,0%,20%,£5.7m,Bournemouth (a),16%,24%,36%,N
Cancelo,Man City,DEF,43%,40%,£7.2m,Wolves (H),29%,9%,36%,N
Zaha,Crystal Palace,MID,12%,90%,£7.3m,Newcastle (H),16%,23%,36%,N
Johnson,Nott'm Forest,FWD,1%,80%,£5.6m,Bournemouth (a),16%,23%,36%,N
Mount,Chelsea,MID,7%,80%,£7.5m,Liverpool (a),20%,18%,35%,N
Bailey,Aston Villa,MID,4%,80%,£4.5m,Southampton (a),18%,20%,35%,N
Paqueta,West Ham,MID,1%,90%,£5.9m,Everton (H),18%,20%,35%,N
Ziyech,Chelsea,MID,0%,60%,£5.5m,Liverpool (a),22%,15%,35%,N
Tavernier,Bournemouth,MID,0%,20%,£4.7m,Nott'm Forest (H),22%,16%,35%,N
Gundogan,Man City,MID,2%,40%,£7.3m,Wolves (H),21%,17%,34%,N
Gibbs-White,Nott'm Forest,MID,0%,90%,£5.5m,Bournemouth (a),20%,18%,34%,N
D.D.Fofana,Chelsea,FWD,0%,30%,£5.0m,Liverpool (a),12%,25%,34%,N
Perisic,Spurs,DEF,21%,80%,£5.5m,Fulham (a),25%,12%,34%,N
Fabio Vieira,Arsenal,MID,0%,10%,£5.7m,Man Utd (H),16%,21%,34%,N
Elliott,Liverpool,MID,1%,30%,£4.9m,Chelsea (H),19%,18%,34%,N
Mac Allister,Brighton,MID,3%,90%,£5.4m,Leicester (a),14%,22%,34%,N
Aubameyang,Chelsea,FWD,1%,20%,£8.5m,Liverpool (a),12%,24%,34%,N
Greenwood,Leeds,FWD,13%,20%,£4.2m,Brentford (H),18%,18%,33%,N
Aaronson,Leeds,MID,1%,80%,£5.4m,Brentford (H),24%,12%,33%,N
Weghorst,Man Utd,FWD,0%,70%,£6.0m,Arsenal (a),13%,23%,33%,N
Martial,Man Utd,FWD,4%,40%,£6.6m,Arsenal (a),17%,20%,33%,N
