Name,Team,Position,Ownership,Start,Price,Fixture,AnytimeAssist,AnytimeGoal,AnytimeReturn,Reserve
Haaland,Man City,FWD,84%,90%,£12.2m,Liverpool (a),17%,57%,65%,N
Kane,Spurs,FWD,20%,90%,£11.4m,Everton (H),20%,49%,59%,N
Mitrovic,Fulham,FWD,23%,80%,£6.8m,Bournemouth (H),14%,49%,56%,N
Jesus,Arsenal,FWD,69%,90%,£8.0m,Leeds (a),17%,44%,54%,N
Son,Spurs,MID,11%,90%,£11.7m,Everton (H),24%,38%,53%,N
De Bruyne,Man City,MID,36%,90%,£12.4m,Liverpool (a),34%,25%,51%,N
Nketiah,Arsenal,FWD,0%,20%,£6.6m,Leeds (a),13%,40%,48%,N
Saka,Arsenal,MID,12%,90%,£7.8m,Leeds (a),24%,31%,47%,N
Vardy,Leicester,FWD,2%,40%,£9.2m,Crystal Palace (H),14%,37%,46%,N
Alvarez,Man City,FWD,1%,10%,£6.1m,Liverpool (a),17%,35%,46%,N
Martinelli,Arsenal,MID,47%,90%,£6.6m,Leeds (a),18%,33%,46%,N
Aubameyang,Chelsea,FWD,3%,70%,£9.1m,Aston Villa (a),13%,36%,45%,N
Richarlison,Spurs,FWD,1%,70%,£8.5m,Everton (H),16%,33%,44%,N
Toney,Brentford,FWD,24%,90%,£7.3m,Brighton (H),14%,34%,44%,N
Sterling,Chelsea,MID,8%,90%,£10.0m,Aston Villa (a),18%,31%,44%,N
Kulusevski,Spurs,MID,5%,40%,£8.0m,Everton (H),24%,25%,44%,N
Odegaard,Arsenal,MID,14%,90%,£6.4m,Leeds (a),24%,25%,43%,N
Diego Costa,Wolves,FWD,1%,70%,£5.5m,Nott'm Forest (H),14%,33%,43%,N
Podence,Wolves,MID,1%,90%,£5.5m,Nott'm Forest (H),23%,25%,43%,N
Guedes,Wolves,MID,0%,90%,£6.0m,Nott'm Forest (H),18%,29%,42%,N
Ronaldo,Man Utd,FWD,3%,60%,£10.2m,Newcastle (H),0%,42%,42%,N
Daka,Leicester,FWD,1%,50%,£5.7m,Crystal Palace (H),13%,33%,42%,N
Mahrez,Man City,MID,2%,30%,£7.5m,Liverpool (a),22%,26%,42%,N
Broja,Chelsea,FWD,1%,10%,£5.3m,Aston Villa (a),13%,32%,41%,N
Zaha,Crystal Palace,MID,20%,90%,£7.4m,Leicester (a),16%,29%,41%,N
Salah,Liverpool,MID,26%,90%,£12.7m,Man City (H),16%,29%,41%,N
Iheanacho,Leicester,FWD,1%,20%,£6.2m,Crystal Palace (H),14%,31%,41%,N
Vinicius,Fulham,FWD,0%,20%,£5.5m,Bournemouth (H),12%,32%,40%,N
De Cordova-Reid,Fulham,MID,0%,90%,£5.5m,Bournemouth (H),20%,25%,40%,N
Grealish,Man City,MID,1%,60%,£6.8m,Liverpool (a),26%,18%,40%,N
Hwang,Wolves,MID,0%,30%,£5.7m,Nott'm Forest (H),14%,29%,40%,N
Foden,Man City,MID,18%,90%,£8.2m,Liverpool (a),17%,27%,40%,N
Darwin,Liverpool,FWD,6%,40%,£8.8m,Man City (H),14%,29%,39%,N
Mount,Chelsea,MID,4%,90%,£7.6m,Aston Villa (a),20%,23%,38%,N
Havertz,Chelsea,FWD,2%,30%,£7.7m,Aston Villa (a),13%,29%,38%,N
Adama,Wolves,MID,0%,30%,£5.5m,Nott'm Forest (H),20%,22%,38%,N
Pulisic,Chelsea,MID,1%,10%,£5.7m,Aston Villa (a),17%,25%,38%,N
Edouard,Crystal Palace,FWD,3%,80%,£5.3m,Leicester (a),12%,29%,37%,N
Perez,Leicester,MID,0%,10%,£4.8m,Crystal Palace (H),21%,20%,37%,N
Barnes,Leicester,MID,2%,90%,£6.9m,Crystal Palace (H),18%,22%,36%,N
Firmino,Liverpool,FWD,5%,60%,£8.0m,Man City (H),14%,25%,36%,N
Kebano,Fulham,MID,0%,50%,£5.4m,Bournemouth (H),17%,23%,36%,N
Andreas,Fulham,MID,25%,90%,£4.6m,Bournemouth (H),20%,20%,36%,N
James,Fulham,MID,0%,70%,£6.0m,Bournemouth (H),20%,20%,36%,N
Maddison,Leicester,MID,19%,90%,£8.2m,Crystal Palace (H),16%,23%,36%,N
Welbeck,Brighton,FWD,2%,90%,£6.5m,Brentford (a),9%,29%,35%,N
Fabio Vieira,Arsenal,MID,0%,20%,£5.7m,Leeds (a),14%,24%,35%,N
Undav,Brighton,FWD,0%,10%,£5.1m,Brentford (a),11%,27%,35%,N
Willian,Fulham,MID,0%,10%,£5.5m,Bournemouth (H),17%,21%,35%,N
Diogo Jota,Liverpool,FWD,0%,90%,£8.9m,Man City (H),12%,26%,35%,N
Bernardo,Man City,MID,11%,90%,£7.0m,Liverpool (a),21%,17%,34%,N
Trossard,Brighton,MID,14%,90%,£6.8m,Brentford (a),14%,23%,34%,N
Gallagher,Chelsea,MID,1%,50%,£5.7m,Aston Villa (a),17%,20%,34%,N
Gross,Brighton,MID,20%,90%,£5.9m,Brentford (a),22%,14%,34%,N
Mateta,Crystal Palace,FWD,0%,20%,£5.3m,Leicester (a),9%,27%,34%,N
Wissa,Brentford,MID,0%,60%,£5.4m,Brighton (H),13%,23%,33%,N
Carvalho,Liverpool,MID,1%,20%,£5.4m,Man City (H),16%,20%,33%,N
Martial,Man Utd,FWD,2%,30%,£6.9m,Newcastle (H),0%,32%,33%,N
Wilson,Newcastle,FWD,2%,80%,£7.3m,Man Utd (a),0%,32%,33%,N
Solanke,Bournemouth,FWD,2%,90%,£5.7m,Fulham (a),9%,26%,32%,N
Bamford,Leeds,FWD,0%,40%,£7.3m,Arsenal (H),9%,24%,32%,N
Cairney,Fulham,MID,0%,20%,£4.7m,Bournemouth (H),20%,14%,31%,N
Mbeumo,Brentford,FWD,2%,90%,£5.9m,Brighton (H),16%,18%,31%,N
Antony,Man Utd,MID,8%,80%,£7.6m,Newcastle (H),0%,31%,31%,N
Scamacca,West Ham,FWD,2%,80%,£6.7m,Southampton (a),0%,31%,31%,N
Rodrigo,Leeds,MID,6%,80%,£6.3m,Arsenal (H),11%,22%,31%,N
