Name,Team,Position,Ownership,Start,Price,Fixture,AnytimeAssist,AnytimeGoal,AnytimeReturn,Reserve
Haaland,Man City,FWD,82%,90%,£12.1m,Brighton (H),20%,67%,74%,N
Salah,Liverpool,MID,33%,90%,£12.8m,Nott'm Forest (a),27%,51%,65%,N
De Bruyne,Man City,MID,30%,90%,£12.3m,Brighton (H),42%,31%,60%,N
Darwin,Liverpool,FWD,7%,60%,£8.8m,Nott'm Forest (a),23%,45%,58%,N
Alvarez,Man City,FWD,1%,20%,£6.0m,Brighton (H),20%,45%,57%,N
Firmino,Liverpool,FWD,9%,90%,£8.1m,Nott'm Forest (a),22%,40%,54%,N
Kane,Spurs,FWD,23%,90%,£11.5m,Newcastle (H),18%,42%,53%,N
Mahrez,Man City,MID,1%,40%,£7.5m,Brighton (H),27%,34%,52%,N
Jesus,Arsenal,FWD,60%,90%,£8.0m,Southampton (a),17%,42%,52%,N
Carvalho,Liverpool,MID,1%,60%,£5.4m,Nott'm Forest (a),26%,33%,51%,N
Saka,Arsenal,MID,15%,90%,£7.9m,Southampton (a),24%,32%,49%,N
Grealish,Man City,MID,1%,60%,£6.8m,Brighton (H),33%,23%,48%,N
Antonio,West Ham,FWD,2%,40%,£7.1m,Bournemouth (H),20%,35%,48%,N
Mitrovic,Fulham,FWD,25%,90%,£6.8m,Leeds (a),12%,40%,47%,N
Scamacca,West Ham,FWD,2%,70%,£6.8m,Bournemouth (H),16%,36%,47%,N
Nketiah,Arsenal,FWD,0%,20%,£6.5m,Southampton (a),13%,38%,47%,N
Bowen,West Ham,MID,5%,90%,£8.2m,Bournemouth (H),20%,32%,46%,N
Son,Spurs,MID,11%,90%,£11.8m,Newcastle (H),20%,33%,46%,N
Bamford,Leeds,FWD,1%,40%,£7.2m,Fulham (H),14%,36%,46%,N
Foden,Man City,MID,23%,80%,£8.3m,Brighton (H),21%,31%,46%,N
Martinelli,Arsenal,MID,47%,90%,£6.7m,Southampton (a),18%,32%,45%,N
Rodrigo,Leeds,MID,6%,60%,£6.3m,Fulham (H),16%,32%,43%,N
Toney,Brentford,FWD,27%,90%,£7.4m,Aston Villa (a),13%,34%,43%,N
Benrahma,West Ham,MID,1%,70%,£5.6m,Bournemouth (H),23%,26%,43%,N
Aubameyang,Chelsea,FWD,3%,80%,£9.1m,Man Utd (H),12%,35%,43%,N
Bernardo,Man City,MID,9%,80%,£6.9m,Brighton (H),26%,22%,42%,N
Ings,Aston Villa,FWD,1%,50%,£6.7m,Brentford (H),14%,32%,42%,N
Watkins,Aston Villa,FWD,2%,80%,£7.2m,Brentford (H),16%,31%,42%,N
Coutinho,Aston Villa,MID,4%,80%,£6.7m,Brentford (H),22%,24%,40%,N
